day,price0,price1,price2,price3
2020/8/7,28,29,30,30
2020/8/8,28,30,30,30
2020/8/9,30,30,30,28
2020/8/10,28,30,30,30
2020/8/11,28,30,30,30
2020/8/12,28,30,30,30
2020/8/13,28,29,30,30
2020/8/14,28,29,30,30
2020/8/15,28,29,30,30
2020/8/16,28,29,30,30
2020/8/17,28,29,30,30
2020/8/18,28,29,30,30
2020/8/19,28,29,30,30
2020/8/20,28,29,30,30
2020/8/21,28,29,30,30
2020/8/22,28,29,30,30
2020/8/23,28,29,30,30
2020/8/24,28,29,30,30
2020/8/25,28,29,30,30
2020/8/26,28,29,30,30
2020/8/27,28,29,30,30
2020/8/28,28,29,30,30
2020/8/29,28,29,30,30
2020/8/30,28,29,30,30
2020/8/31,28,29,30,30
2020/9/1,28,29,30,30
2020/9/2,28,29,30,30
2020/9/3,28,29,30,30
2020/9/4,28,29,30,30
2020/9/5,28,29,30,30
2020/9/6,28,29,30,30
2020/9/7,28,29,30,30
2020/9/8,28,28,30,30
2020/9/9,29,28,30,28
2020/9/10,29,28,30,28
2020/9/11,29,28,30,28
2020/9/12,29,28,30,28
2020/9/13,29,28,30,28
2020/9/14,29,28,30,28
2020/9/15,28,28,30,28
2020/9/16,28,28,30,28
2020/9/17,28,27,30,28
2020/9/18,28,27,30,28
2020/9/19,28,27,30,28
2020/9/20,28,27,30,28
2020/9/21,28,27,30,28
2020/9/22,28,27,30,28
2020/9/23,28,27,30,28
2020/9/24,28,27,30,28
2020/9/25,28,27,30,28
2020/9/26,28,26,30,28
2020/9/27,28,26,30,28
2020/9/28,28,27,30,28
2020/9/29,28,27,30,27
2020/9/30,28,27,30,27
2020/10/1,28,27,30,27
2020/10/2,28,27,30,27
2020/10/3,28,27,30,27
2020/10/4,28,27,30,27
2020/10/5,28,27,30,27
2020/10/6,28,27,30,27
2020/10/7,28,27,30,27
2020/10/8,28,27,30,27
2020/10/9,28,27,30,27
2020/10/10,28,27,30,27
2020/10/11,28,27,30,27
2020/10/12,28,27,30,27
2020/10/13,28,26,27,25
2020/10/14,28,26,27,25
2020/10/15,28,25,27,25
2020/10/16,28,25,27,25
2020/10/17,28,25,27,25
2020/10/18,28,25,27,25
2020/10/19,28,25,27,25
2020/10/20,28,25,27,25
2020/10/21,28,25,27,25
2020/10/22,28,25,27,25
2020/10/23,28,25,27,25
2020/10/24,28,25,27,25
2020/10/25,28,25,27,25
2020/10/26,28,24,27,25
2020/10/27,28,24,25,25
2020/10/28,28,24,25,25
2020/10/29,28,24,25,25
2020/10/30,23,24,25,25
2020/10/31,23,24,25,25
2020/11/1,23,24,25,25
2020/11/2,23,23.5,25,25
2020/11/3,23,23.5,25,25
2020/11/4,23,23.5,25,25
2020/11/5,23,23.5,25,25
2020/11/6,23,23.5,25,25
2020/11/7,23,23.5,25,25
2020/11/8,23,23.5,25,25
2020/11/9,23,23.5,25,25
2020/11/10,23,24,25,25
2020/11/11,23,24,25,25
2020/11/12,23,24,25,25
2020/11/13,22,24,25,25
2020/11/14,22,24,25,25
2020/11/15,22,24,25,25
2020/11/16,22,24,25,25
2020/11/17,22,24,25,25
2020/11/18,22,24,25,24
2020/11/19,22,24,25,24
2020/11/20,22,24,25,24
2020/11/21,22,24,25,24
2020/11/22,22,24,25,24
2020/11/23,22,24,25,24
2020/11/24,22,24,25,24
2020/11/25,22,24,25,24
2020/11/26,22,24,25,24
2020/11/27,22,24,25,24
2020/11/28,22,25,24,24
2020/11/29,23,24,25,24
2020/11/30,23,25,25,25
2020/12/1,23,25,25,25
2020/12/2,23,25,25,25
2020/12/3,23,25,25,25
2020/12/4,25,26,25,25
2020/12/5,25,26,25,25
2020/12/6,25,27,25,25
2020/12/7,25,27,25,25
2020/12/8,25,27,25,25
2020/12/9,26,26,25,25
2020/12/10,26,26,25,27
2020/12/11,26,26,25,27
2020/12/12,26,26,25,27
2020/12/13,26,26,25,27
2020/12/14,26,26.5,26,27
2020/12/15,26,27,26,27
2020/12/16,26,27,26,27
2020/12/17,26,27,28,26
2020/12/18,27,27,26,28
2020/12/19,27,27,26,28
2020/12/20,27,27,26,28
2020/12/21,27,27,26,28
2020/12/22,27,27,26,28
2020/12/23,27,27,26,28
2020/12/24,27,27,26,28
2020/12/25,27,27,26,28
2020/12/26,27,27,26,28
2020/12/27,27,27.5,26,28
2020/12/28,27,27.5,30,28
2020/12/29,27,27.5,30,28
2020/12/30,27,27.5,30,28
2020/12/31,27,27.5,30,28
2021/1/1,27,28,30,28
